FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Private,0.7587,24,1105,45866,42000
Private,0.6779,19,885,40803,36100
Private,0.1428,32,1434,59060,54000
Private,0.2821,28,1258,58450,74700
Private,0.576,20,964,40447,37500
Private,0.6255,22,1006,44041,36300
Private,0.4379,28,1234,54806,69000
Private,0.3222,32,1375,58639,61800
Private,0.4561,28,1279,59036,53600
Private,0.3704,30,1347,58850,47400
Public,0.786,22,991,19303,39100
Private,0.6692,18,931,47519,41900
Private,0.6835,17,845,46673,29200
Private,0.4798,28,1240,51158,38900
Private,0.6049,24,1090,49487,42200
Private,0.7165,23,1070,44177,43800
Public,0.7211,20,987,17686,38700
Public,0.5167,22,1040,21402,40200
Private,0.4133,26,1156,43140,36700
Private,0.0584,34,1501,57950,77600
Private,0.7614,21,974,43854,34600
Private,0.6749,24,1065,47788,33200
Public,0.6397,25,1132,22861,45600
Public,0.6294,27,1209,25665,43500
Private,0.8921,24,1094,43966,113100
Public,0.6982,25,1081,25384,30200
Private,0.0815,34,1503,57010,86900
Public,0.7726,22,1051,22420,67500
Private,0.6065,18,880,41565,32600
Private,0.8047,21,940,44886,41900
Public,0.672,23,1032,20025,29500
Private,0.3231,32,1394,55914,56400
Private,0.7492,19,928,40802,41300
Private,0.7243,21,954,47432,41000
Public,0.6929,22,986,20601,37600
Private,0.4897,26,1149,51093,46500
Private,0.6992,23,1029,44829,39900
Public,0.7213,23,1061,23763,41100
Private,0.7091,25,1133,50677,51700
Private,0.825,23,1014,45280,46000
Private,0.1884,32,1428,58752,57400
Private,0.2911,31,1399,57164,52800
Private,0.5761,24,1109,43850,52100
Private,0.8151,24,1077,45850,48400
Public,0.7487,20,995,19468,39300
Private,0.7318,22,996,45591,35300
Private,0.1702,32,1439,59412,46400
Public,0.6062,22,1016,18494,39700
Private,0.5628,22,1007,40199,33800
Private,0.5639,25,1143,45690,40800
Private,0.6791,25,1100,43157,38000
Private,0.3751,23,1070,33653,33400
Private,0.7135,24,1090,34593,31200
Private,0.6975,26,1183,39013,38100
Public,0.6304,22,1029,21523,36100
Private,0.7263,21,976,17823,47800
Private,0.486,22,1010,46095,33200
Private,0.6147,25,1142,48027,43000
Public,0.6398,22,1011,18905,33800
Public,0.759,22,1010,21498,38400
Private,0.6159,27,1198,49303,69900
Private,0.6807,24,1084,33912,32800
Public,0.826,24,1090,21512,36900
Private,0.7253,27,1204,38593,39700
Private,0.6689,28,1240,48547,41400
Public,0.9183,23,1050,19571,32600
Private,0.4365,25,1145,39890,50000
Private,0.6125,22,1034,22629,36300
Private,0.9378,16,780,25733,25300
Private,0.6567,21,990,26399,30300
Public,0.3326,30,1352,25760,53400
Public,0.6865,26,1158,23740,46800
Public,0.7659,27,1206,24724,57400
Public,0.6284,25,1125,15831,42900
Public,0.7809,21,993,16731,36700
Public,0.7313,22,1030,18466,30800
Private,0.6538,22,1029,32803,40800
Public,0.66,23,1070,19198,37900
Private,0.5148,20,927,31515,31000
Private,0.6842,22,1008,26213,27300
Public,0.7865,21,990,17876,35000
Private,0.6765,21,990,31980,34500
Private,0.6505,23,1069,32709,34800
Private,0.5883,20,930,29377,25500
Public,0.7624,23,1050,20199,36700
Public,0.8285,22,1030,22483,37900
Private,0.6086,23,1053,42531,41300
Public,0.6678,21,990,18166,35100
Private,0.7458,23,1070,32531,31400
Private,0.9485,25,1144,42692,41100
Private,0.2095,31,1406,58275,42700
Private,0.7998,25,1144,39803,39100
Private,0.5239,21,991,40267,44700
Private,0.9617,25,1125,20740,35400
Private,0.6322,27,1224,48422,42400
Private,0.6557,24,1106,43433,43100
Private,0.3416,31,1350,55393,38900
Public,0.6555,22,1030,17578,38100
Public,0.4442,28,1270,24278,43300
Public,0.6916,22,1004,21549,38000
Private,0.5895,23,1073,41935,27500
Public,0.7822,24,1109,22796,39900
Public,0.5764,26,1168,22853,34500
Public,0.8911,23,1049,18028,34500
Private,0.9521,23,1044,28800,28700
Private,0.6915,25,1126,37803,32100
Private,0.5873,20,930,25300,21000
Private,0.7554,26,1157,47734,45200
Public,0.8691,22,1010,17892,38700
Private,0.7516,26,1155,46397,51100
Private,0.7485,23,1068,38470,39300
Private,0.5919,29,1290,50550,40200
Private,0.55,21,983,34574,30000
Private,0.7265,24,1085,40685,46300
Private,0.8617,26,1165,48421,48100
Private,0.6089,23,1051,43356,43700
Public,0.6546,22,1010,19109,34900
Public,0.6075,23,1070,20449,39000
Public,0.8291,18,851,20330,26200
Private,0.4842,22,1033,33375,33100
Private,0.5573,22,1007,16926,28400
Public,0.8941,20,950,17749,32000
Public,0.6464,19,910,18724,26000
Private,0.4745,26,1159,44435,38900
Public,0.5936,24,1100,21526,37900
Public,0.4349,21,995,15935,31400
Public,0.2272,17,825,17758,21000
Private,0.673,24,1098,25976,35800
Public,0.6482,24,1106,20796,36800
Public,0.8566,21,970,5285,25500
Private,0.1386,14,666,14466,20600
Public,0.6631,24,1082,18781,33200
Private,0.3551,18,864,20179,23500
Private,0.4877,24,1105,23962,32500
Private,0.6108,22,1028,34898,39500
Private,0.8696,22,1033,18781,30500
Private,0.6506,22,1006,32000,31500
Public,0.8083,21,990,18355,33100
Private,0.7063,22,1021,26065,26100
Private,0.5926,21,972,33741,33100
Private,0.8095,25,1146,32556,29300
Private,0.6425,23,1046,30988,32400
Private,0.6524,23,1070,30833,38100
Private,0.6814,22,1029,27560,31300
Private,0.643,24,1073,45824,25200
Private,0.6629,23,1045,30193,35400
Private,0.7611,25,1142,37968,43200
Private,0.6095,22,1001,30542,31800
Public,0.9728,21,990,14143,30500
Private,0.2218,20,920,28754,31000
Public,0.7861,26,1165,22387,41200
Public,0.33,24,1105,23437,41300
Public,0.8215,28,1263,22102,61200
Public,0.7419,24,1090,22474,37500
Public,0.7219,28,1243,19689,38000
Public,0.7241,23,1050,17005,34400
Private,0.7543,26,1164,40582,43400
Private,0.6443,28,1237,52413,48100
Private,0.9886,21,970,28581,27600
Private,0.9022,23,1062,28948,30300
Private,0.6756,23,1047,41309,29800
Public,0.8546,23,1049,17093,32500
Public,0.851,24,1090,19117,34100
Private,0.1555,33,1474,62594,58300
Private,0.5806,24,1107,37363,37400
Private,0.719,24,1090,33354,35400
Private,0.5778,25,1146,42688,40500
Private,0.7514,23,1047,33016,32500
Private,0.53,24,1112,38575,37800
Public,0.8891,24,1115,16434,36000
Public,0.8449,24,1115,18486,35600
Public,0.9423,24,1090,17440,30900
Public,1,20,925,17290,32400
Private,0.6683,22,1024,32987,33000
Private,0.6056,24,1110,22322,45300
Private,0.7167,23,1070,26429,45600
Private,0.7152,24,1091,33226,33700
Private,0.7665,27,1214,46248,51200
Private,0.7173,24,1077,36370,40300
Private,0.5846,22,995,27873,29100
Private,0.7364,24,1083,35673,38500
Public,0.8486,23,1049,19212,36000
Private,0.3333,23,1070,23987,46700
Private,0.6832,21,970,36214,35400
Public,0.7078,23,1070,16860,38300
Private,0.7689,24,1109,36429,40800
Public,0.6404,25,1147,21024,39200
Private,0.5701,23,1070,36592,36300
Private,0.5229,23,1050,30383,34400
